OTHERNAME,RSTAR,MASS,STAR,COMP,star,R,A,texture,,,,,,,day,PER,I
,rsun,mearth,,,,rjupiter,au,,,,,,,,,yrs,deg
2MASS J07273995+2420118,0.694,2316.733724,HAT-P-20,b,0,0.867,0.03616,textures/earth.jpg,-,-,-,-,-,-,,0.007872357,86.8
2MASS J11250598+4101406,1.105,1296.161021,HAT-P-21,b,0,1.024,0.0494951,textures/earth.jpg,-,-,-,-,-,-,,0.011292455,87.2
2MASS J10224361+5007420,1.04,683.7411233,HAT-P-22,b,0,1.08,0.0414094,textures/earth.jpg,-,-,-,-,-,-,,0.008794767,86.9
2MASS J20242972+1645437,1.203,666.1626866,HAT-P-23,b,0,1.368,0.0231971,textures/earth.jpg,-,-,-,-,-,-,,0.003320766,85.1
2MASS J07151801+1415453,1.317,217.9767477,HAT-P-24,b,0,1.242,0.0465021,textures/earth.jpg,-,-,-,-,-,-,,0.009186343,88.6
2MASS J03134450+2511506,0.959,180.2595435,HAT-P-25,b,0,1.19,0.0465813,textures/earth.jpg,-,-,-,-,-,-,,0.010001134,87.6
2MASS J14123753+0403359,0.788,18.63959466,HAT-P-26,b,0,0.565,0.0478684,textures/earth.jpg,-,-,-,-,-,-,,0.011593721,88.6
WASP-40,0.87,196.2469903,HAT-P-27,b,0,1.02,0.0399488,textures/earth.jpg,-,-,-,-,-,-,,0.008322086,85
2MASS J00520018+3443422,1.103,199.5357566,HAT-P-28,b,0,1.212,0.0433674,textures/earth.jpg,-,-,-,-,-,-,,0.008917959,88
2MASS J02123147+5146435,1.224,247.5804116,HAT-P-29,b,0,1.107,0.0666842,textures/earth.jpg,-,-,-,-,-,-,,0.015669564,87.1
GSC 0346-00819,0.833,189.3271692,HAT-P-3,b,0,0.899,0.0388252,textures/earth.jpg,-,-,-,-,-,-,,0.007939124,87.24
WASP-51,1.215,225.9955786,HAT-P-30,b,0,1.34,0.0419042,textures/earth.jpg,-,-,-,-,-,-,,0.007695154,83.6
2MASS J18060904+2625359,1.36,689.3569429,HAT-P-31,b,0,1.07,0.0611921,textures/earth.jpg,-,-,-,-,-,-,,0.013704399,87.1
2MASS J02041028+4641162,1.387,302.181941,HAT-P-32,b,0,2.037,0.0344203,textures/earth.jpg,-,-,-,-,-,-,,0.00588653,88.7
2MASS J07324421+3350061,1.777,243.5558998,HAT-P-33,b,0,1.827,0.0502683,textures/earth.jpg,-,-,-,-,-,-,,0.009512795,86.7
2MASS J20124688+1806175,1.197,1059.600583,HAT-P-34,b,0,1.197,0.0677467,textures/earth.jpg,-,-,-,-,-,-,,0.014928872,87.1
2MASS J08130018+0447132,1.435,335.0486281,HAT-P-35,b,0,1.332,0.0497734,textures/earth.jpg,-,-,-,-,-,-,,0.00998435,87.3
2MASS J12330390+4454552,1.096,584.5378462,HAT-P-36,b,0,1.264,0.0238229,textures/earth.jpg,-,-,-,-,-,-,,0.003634156,86
2MASS J18571105+5116088,0.877,372.9959315,HAT-P-37,b,0,1.178,0.0379273,textures/earth.jpg,-,-,-,-,-,-,,0.007658918,86.9
2MASS 02213197+3214461,0.923,85.0378729,HAT-P-38,b,0,0.825,0.0522992,textures/earth.jpg,-,-,-,-,-,-,,0.012704945,88.3
,1.625,190.4344423,HAT-P-39,b,0,1.571,0.0509456,textures/earth.jpg,-,-,-,-,-,-,,0.009702794,87
GSC 0259-01599,1.596,213.4160793,HAT-P-4,b,0,1.274,0.0443853,textures/earth.jpg,-,-,-,-,-,-,,0.008368518,89.91
,2.206,197.1098624,HAT-P-40,b,0,1.73,0.060845,textures/earth.jpg,-,-,-,-,-,-,,0.012203527,88.3
,1.683,254.3340146,HAT-P-41,b,0,1.685,0.0425775,textures/earth.jpg,-,-,-,-,-,-,,0.007376056,87.7
GSC 02634-01087,1.165,335.4903932,HAT-P-5,b,0,1.254,0.0407152,textures/earth.jpg,-,-,-,-,-,-,,0.007634635,86.75
GSC 03239-00992,1.46,336.748947,HAT-P-6,b,0,1.33,0.0523738,textures/earth.jpg,-,-,-,-,-,-,,0.010549123,85.51
GSC 03547-01402,1.981,569.400241,HAT-P-7,b,0,1.363,0.037964,textures/earth.jpg,-,-,-,-,-,-,,0.00603637,83.111
GSC 02757-01152,1.58,411.0512926,HAT-P-8,b,0,1.5,0.0449613,textures/earth.jpg,-,-,-,-,-,-,,0.008422732,87.8
,1.32,246.8166983,HAT-P-9,b,0,1.4,0.0528645,textures/earth.jpg,-,-,-,-,-,-,,0.010740517,86.5
2MASS J11420608-2321174,1.038,592.7502275,HATS-1,b,0,1.302,0.0444708,textures/earth.jpg,-,-,-,-,-,-,,0.009436092,85.6
,0.898,428.7822813,HATS-2,b,0,1.168,0.0229834,textures/earth.jpg,-,-,-,-,-,-,,0.003707493,87.2
2MASS J11350375+2026295,9.3,423.8148077,HD 100655,b,0,,0.682908,textures/earth.jpg,-,-,-,-,-,-,,0.431412363,
,1.07881,370.2627086,HD 100777,b,0,,1.03378,textures/earth.jpg,-,-,-,-,-,-,,1.050535812,
2MASS J01375356-6030414,1.10851,13.19110558,HD 10180,c,0,,0.0641175,textures/earth.jpg,-,-,-,-,-,-,,0.015769317,
2MASS J01375356-6030414,1.10851,11.96735272,HD 10180,d,0,,0.128581,textures/earth.jpg,-,-,-,-,-,-,,0.04478316,
2MASS J01375356-6030414,1.10851,25.35836495,HD 10180,e,0,,0.269917,textures/earth.jpg,-,-,-,-,-,-,,0.136202772,
2MASS J01375356-6030414,1.10851,23.62178321,HD 10180,f,0,,0.49279,textures/earth.jpg,-,-,-,-,-,-,,0.335996225,
2MASS J01375356-6030414,1.10851,21.41489644,HD 10180,g,0,,1.42271,textures/earth.jpg,-,-,-,-,-,-,,1.648221376,
