# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 5891 b,7.6,2416.04,[0.4],,,177.11,[0.31],0.76,[0.02],0.066,[0.02],,,0.003028,360,[30.0],2455432,[10.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 5891,00:33.0,+20:17:33,8.25,,,,,251,-0.02,1.91,8.7,G5D,1.5,4907
HD 59686 b,5.25,1668.975,[],,[],303,[],0.911,[],,,,[],0.009902,,,,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 59686,31:48.0,+17:05:09,5.45,,,,,92,,,11.62,K2 III,,
HD 60532 b,3.15,1001.385,,,,201.83,[0.14],0.77,,0.278,[0.006],20,[0.0],0.029961,352.83,[1.05],54000,,,,,,,,,,,,,,,,detected by radial velocity,,HD 60532,34:03.0,-22:17:46,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095
HD 60532 c,7.46,2371.534,,,,607.06,[2.1],1.58,,0.038,[0.008],20,[0.0],0.061479,119.49,[9.14],54000,,,,,,,,,,,,,,,,detected by radial velocity,,HD 60532,34:03.0,-22:17:46,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095
HD 62509 b,2.9,921.91,[0.1],,[],589.64,[0.81],1.69,[0.03],0.02,[0.03],,[],0.163443,354.58,[95.65],2447739.02,[4.5],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 62509,45:18.0,+28:01:34,1.15,,,,,10.34,0.19,1.47,9.3, K0IIIb,,4666
HD 63454 b,0.38,120.802,,,,2.818049,[7.1e-05],0.036,,2.00E-05,[0.022],,,0.001006,87.3,[90.5],2453342.87,[0.59],,,,,,,,,,,,,,,detected by radial velocity,,HD 63454,39:21.0,-78:16:44,9.37,,,,,35.8,0.11,0.8,,K4 V,1,4841
HD 63765 b,0.64,203.456,[0.05],,,358,[1.0],0.949,[0.016],0.24,[0.043],,,0.02911,122,[13.0],2454404,[11.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 63765,47:50.0,-54:15:51,8.1,,,,,32.6,-0.16,0.865,,G9V,4.77,5432
HD 6434 b,0.39,123.981,,,,21.998,[0.0009],0.14,,0.17,[0.03],,,0.003472,156,[11.0],51490.8,[0.6],,,,,,,,,,,,,,,detected by radial velocity,,HD 6434,04:40.0,-39:29:17,7.72,,,,,40.32,-0.52,0.79,0.57,G3 IV,3.8,5835
HD 65216 b,1.21,384.659,[],,[],613.1,[11.4],1.37,[],0.41,[0.06],,[],0.039942,198,[6.0],50762,[25.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 65216,53:41.0,-63:38:50,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666
HD 65216 c,0.17,54.043,[0.03],,[],5542,[],0.54,[0.01],0.02,[0.1],,[],,0,[54.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 65216,53:41.0,-63:38:50,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666
HD 66141 b,6,1907.4,[0.3],,[],480.5,[0.5],1.2,[0.1],0.07,[0.03],,[],,22.1,[3.5],2451320.8,[4.8],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 66141,02:16.0,+02:20:04,4.39,,,,,80.9,-0.32,1.1,21.4,K2III,6.84,4305
HD 66428 b,2.82,896.478,[0.027],,,1973,[31.0],3.18,[0.19],0.465,[0.03],,,0.057818,152.9,[3.9],,,,,,,,,,,12139,[16.0],,,,,detected by radial velocity,,HD 66428,03:28.0,-01:09:45,8.25,,,,,55,0.31,1.14552,,G5,5.56,5752
HD 6718 b,1.56,495.924,"[0.1, 0.11]",,,2496,[176.0],3.56,"[0.15, 0.15]",0.1,"[0.04, 0.04]",,,0.063685,286,"[35.0, 35.0]",4357,[251.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 6718,07:49.0,-08:14:01,8.45,,,,,55.9,-0.06,0.96,1.02,G5V,,5745
HD 68988 b,1.9,604.01,,,,6.276,[0.002],0.071,,0.14,[0.003],,,0.001224,186,[8.0],1913,[0.2],,,,,,,,,,,,,,,detected by radial velocity,,HD 68988,18:22.0,+61:27:38,8.21,,,,,58,0.24,1.2,1.14,G0,6.78,5767
HD 69830 b,0.033,10.4907,,,,8.667,[0.003],0.0785,,0.1,[0.04],13,"[13.0, 13.0]",0.00623,340,[26.0],2453496.8,[0.06],,,,,,,,,,,,,,,detected by radial velocity,,HD 69830,18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7,5385
HD 69830 c,0.038,12.0802,,,,31.56,[0.04],0.186,,0.13,[0.06],13,"[13.0, 13.0]",0.014762,221,[35.0],2453469.6,[2.8],,,,,,,,,,,,,,,detected by radial velocity,,HD 69830,18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7,5385
HD 69830 d,0.058,18.4382,,,,197,[3.0],0.63,,0.07,[0.07],13,"[13.0, 13.0]",0.05,224,[61.0],2453358,[34.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 69830,18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7,5385
HD 70573 b,6.1,1939.19,[0.4],,,851.8,[11.6],1.76,[0.05],0.4,[0.1],,,0.038512,269.6,[14.3],2106.54,[25.72],,,,,,,,,,,,,,,detected by radial velocity,,HD 70573,22:50.0,+01:51:34,8.7,,,,,45.7,-0.18,1,,G1-1.5V,0.101,5737
HD 70642 b,2,635.8,,,,2231,[400.0],3.3,,0.1,[0.06],,,0.114583,277,[75.0],2451749,[300.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 70642,21:28.0,-39:42:19,7.17,,,,,28.8,0.16,1,0.84,G5 IV-V,3.88,5670
HD 7199 b,0.29,92.191,[0.023],,,615,[7.0],1.36,[0.02],0.19,"[0.13, 0.13]",,,0.037778,155,"[64.0, 64.0]",2455030,[277.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 7199,10:47.0,-66:11:17,8.06,,,,,36,0.28,0.89,0.96,KOIV/V,6.79,5386
HD 72659 b,3.15,1001.385,[0.14],,,3658,[32.0],4.74,[0.08],0.22,[0.03],,,0.095181,-99.3,[6.5],55351,[59.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 72659,34:03.0,-01:34:05,7.46,,,,,49.8,-0.02,0.95,1.36,G2 V,6.5,5926
HD 73256 b,1.87,594.473,[0.49],,,2.54858,[0.00016],0.037,,0.029,[0.02],,,0.001014,337.3,[45.8],52500.18,[0.28],,,,,,,,,,,,,,,detected by radial velocity,,HD 73256,36:23.0,-30:02:15,8.08,,,,,36.5,0.29,1.05,0.89,G8/K0,0.83,5570
HD 73267 b,3.06,972.774,[0.07],,,1260,[7.0],2.198,[0.025],0.256,[0.009],,,0.040029,229.1,[1.8],51821.7,[16.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 73267,36:18.0,-34:27:36,8.9,,,,,54.91,0.03,0.89,1.04,G5V,7.4,5317
HD 73526 b,2.9,921.91,[0.2],,,188.3,[0.9],0.66,[0.05],0.19,[0.05],,,0.006667,203,[9.0],1212.1302,,,,,,,,,,,,,,,,detected by radial velocity,,HD 73526,37:16.0,-41:19:08,9,,,,,99,0.25,1.08,1.49,G6 V,5.59,5590
HD 73526 c,2.5,794.75,[0.3],,,377.8,[2.4],1.05,[0.08],0.14,[0.09],,,0.010606,13,[76.0],1212.1302,,,,,,,,,,,,,,,,detected by radial velocity,,HD 73526,37:16.0,-41:19:08,9,,,,,99,0.25,1.08,1.49,G6 V,5.59,5590
HD 73534 b,1.15,365.585,,,,1800,[110.0],3.15,,0.046,[0.08],,,0.032478,59,[92.0],2453120,[830.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 73534,39:16.0,+12:57:37,8.24,,,,,96.99,0.16,1.29,2.65,G5IV,,4952
HD 74156 b,1.88,597.652,[0.03],,,51.65,[0.01],0.294,,0.64,[0.01],,,0.004554,175.8,[1.4],1980.8,[0.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 74156,42:25.0,+04:34:41,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960
HD 74156 c,8.03,2552.737,[0.12],,,2476,[8.7],3.4,,0.43,[0.01],,,0.052664,261.3,[2.0],952.2,[13.8],,,,,,,,,,,,,,,detected by radial velocity,,HD 74156,42:25.0,+04:34:41,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960
HD 7449 b,1.11,352.869,"[0.37, 0.27]",,[],1275,[15.0],2.3,[0.04],0.82,[0.06],,[],0.058974,-21,[6.0],2455298,"[22.0, 22.0]",,[],,[],,,,,,,,,,,detected by radial velocity,,HD 7449,14:29.0,-05:02:51,7.5,,,,,39,-0.11,1.05,1.01,F8V,2.1,6024
HD 7449 c,2,635.8,"[0.54, 0.36]",,[],4046,"[366.0, 366.0]",4.96,"[0.3, 0.3]",0.53,[0.08],,[],0.127179,11,[8.0],2455883,"[172.0, 172.0]",,[],,[],,,,,,,,,,,detected by radial velocity,,HD 7449,14:29.0,-05:02:51,7.5,,,,,39,-0.11,1.05,1.01,F8V,2.1,6024
HD 75289 b,0.42,133.518,,,,3.5098,[0.0007],0.046,,0.024,[0.021],,,0.001589,50.16,[49.17],51355.91,[0.48],,,,,,,,,,,,,,,detected by radial velocity,,HD 75289,47:40.0,-41:44:12,6.35,,,,,28.94,0.29,1.05,1.25,G0 V,4.96,6120
HD 75898 b,2.51,797.929,,,,418.2,[5.7],1.19,,0.1,[0.05],,,0.014768,263.7,[30.0],12907,[37.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 75898,53:51.0,+33:03:25,8.04,,,,,80.58,0.27,1.28,1.6,G0,3.8,6021
HD 76700 b,0.197,62.6263,[0.017],,,3.971,[0.001],0.049,[0.004],0,[0.04],,,0.000821,,,,,,,,,,,,,1219.9,[0.1],,,,,detected by radial velocity,,HD 76700,53:55.0,-66:48:03,8.13,,,,,59.7,0.14,1,1.33,G6 V,4.51,5726
HD 77338 b,0.5,158.95,[0.025],,[],5.7561,[0.0015],0.0614,[0.003],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 77338,01:12.0,-25:31:37,8.63,,,,,40.75,0.35,0.93,0.88,K0IV,3.97,5370
HD 7924 b,0.029,9.2191,[],,[],5.3978,[0.0015],0.057,[],0.17,[0.16],,[],0.003393,25,[60.0],4727.27,[0.87],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 7924,21:59.0,+76:42:37,7.185,,,,,16.8,-0.15,0.832,0.78,KOV,,5177
HD 79498 b,1.34,425.986,[0.07],,,1966,[41.0],3.13,[0.08],0.59,[0.02],,,0.063878,221,[6.0],2453210.9,[39.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 79498,15:09.0,+23:22:32,8.03,,,,,49,0.24,1.06,,G5,2.7,5740
HD 80606 b,3.94,1252.526,[0.11],0.921,[0.036],111.43637,[0.0009],0.449,[0.006],0.93366,"[0.00043, 0.00043]",89.285,[0.023],0.007688,300.651,"[0.109, 0.109]",2454424.857,[0.05],,[],4876.344,[0.011],,,,,,,,,,,detected by transit,K,HD 80606,22:37.0,+50:36:13,8.93,,,,,58.4,0.43,0.98,0.98,G5,7.63,5645
HD 81040 b,6.86,2180.794,[0.71],,,1001.7,[7.0],1.94,,0.526,[0.042],,,0.059582,81.3,[7.2],2452504,[12.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 81040,23:47.0,+20:21:52,7.72,,,,,32.56,-0.16,0.96,0.86,G2/G3,4.18,5700
HD 81688 b,2.7,858.33,,,,184.02,[0.18],0.81,,0,,,,0.009177,,,2335.4,[1.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 81688,28:40.0,+45:36:05,5.41,,,,,88.26,-0.359,2.1,13,K0III-IV,,4753
HD 82886 b,1.3,413.27,[0.1],,,705,[34.0],1.65,[0.06],0.27,"[inf, nan]",,,0.0132,347,[80.0],2455200,[160.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 82886,35:45.0,+34:46:51,7.78,,,,,125,-0.31,1.06,4.8,G0,7,5112
HD 82943 b,4.8,1525.92,[],,[],442.4,[],1.19,[0.0],0.203,[],19.4,[],0.043336,107,[],,[],,[],,[],,[],,[],,,,,,,detected by radial velocity,,HD 82943,34:50.0,-12:07:46,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874
HD 82943 c,4.78,1519.562,[],,[],219.3,[],0.746,[0.0],0.425,[],19.4,[],0.027167,133,[],,[],,[],,[],,[],,[],,,,,,,detected by radial velocity,,HD 82943,34:50.0,-12:07:46,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874
HD 83443 b,0.4,127.16,[0.034],,,2.985625,[0.0006],0.0406,[0.0033],0.008,[0.025],,,0.000932,24,,11211.04,[0.82],,,,,,,,,,,,,,,detected by radial velocity,,HD 83443,37:11.0,-43:16:19,8.23,,,,,43.54,0.35,0.9,1.04,K0 V,2.94,5460
HD 8535 b,0.68,216.172,"[0.04, 0.07]",,,1313,[28.0],2.45,"[0.06, 0.06]",0.15,"[0.05, 0.05]",,,0.046667,61,"[43.0, 43.0]",4537,[92.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 8535,23:37.0,-41:16:11,7.7,,,,,52.5,0.02,1.13,1.19,G0V,,6136
HD 85390 b,0.132,41.9628,[0.01],,[],788,[25.0],1.52,[0.04],0.41,[0.12],,[],0.044759,-94,[23.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 85390,50:02.0,-49:47:25,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186
HD 85390 c,0.2,63.58,[0.02],,[],3700,[840.0],4.23,[0.09],0,[0.07],,[],,0,[49.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 85390,50:02.0,-49:47:25,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186
HD 85512 b,0.011,3.4969,[0.0016],,,58.43,[0.13],0.26,[0.005],0.11,[0.1],,,0.023318,178,[0.58],2455239.709,,,,,,,,,,,,,,,,detected by radial velocity,,HD 85512,51:07.0,-43:30:10,7.67,,,,,11.15,-0.33,0.69,,K5V,5.61,4715
HD 8574 b,2.11,670.769,,,,227.55,[0.77],0.77,,0.288,[0.053],,,0.017421,3.6,[10.9],2451467.5,[6.6],,,,,,,,,,,,,,,detected by radial velocity,,HD 8574,25:12.0,+28:34:00,7.12,,,,,44.2,0.05,1.17,1.37,F8,7.13,6080
HD 86081 b,1.5,476.85,,,,2.1375,[0.0002],0.039,,0.008,[0.004],,,0.000429,251,[40.0],2453694.8,[0.3],,,,,,,,,,,,,,,detected by radial velocity,,HD 86081,56:06.0,-03:48:30,8.73,,,,,91,0.257,1.21,1.22,F8V,6.21,6028
HD 86226 b,1.5,476.85,[1.0],,,1534,[280.0],2.6,[0.4],0.73,[0.21],,,0.061205,58,[50.0],24552240,[290.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 86226,56:30.0,-24:05:58,7.93,,,,,42.48,-0.04,1.02,,G2V,,
HD 86264 b,7,2225.3,[1.6],,,1475,[55.0],2.86,[0.07],0.7,[0.2],,,0.039394,306,[10.0],15172,[114.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 86264,56:58.0,-15:53:42,7.42,,,,,72.6,0.202,1.42,1.88,F7V,2.24,6210
HD 8673 b,14.2,4514.18,[1.6],,,1634,[17.0],3.02,[0.15],0.723,[0.016],,,0.078954,323.4,[3.5],2454420.5,[7.9],,,,,,,,,,,,,,,detected by radial velocity,,HD 8673,26:08.0,+34:34:46,7.57,,,,,38.25,0,1.312,1.54,F7 V,1.95,6413
HD 87883 b,12.1,3846.59,"[10.0, 9.2]",,,2754,[87.0],3.6,[0.08],0.53,[0.12],8.5,"[3.7, 3.7]",0.198895,191,[15.0],11139,[90.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 87883,08:43.0,+34:14:32,7.57,,,,,18.1,0.093,0.82,0.76,K0V,9.8,4980
HD 88133 b,0.22,69.938,,,,3.416,[0.0006],0.047,,0.133,[0.072],,,0.000631,349,,3016.31,[0.32],,,,,,,,,,,,,,,detected by radial velocity,,HD 88133,10:07.0,+18:11:12,8.01,,,,,74.5,0.34,1.2,1.93,G5 IV,9.56,5494
HD 89307 b,2,635.8,[0.4],,,2199,[61.0],3.34,[0.17],0.25,[0.09],,,0.108091,14,[33.0],2454549,[190.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 89307,18:21.0,+12:37:15,7.06,,,,,30.9,-0.14,1.028,1.05,G0V,6.76,5950
HD 89744 b,7.2,2288.88,[],,[],256,[0.7],0.88,[],0.7,[0.02],54,"[12.0, 12.0]",0.022,195,[3.0],,[],,[],,[],,,,,964,[2.0],,,,,detected by radial velocity,,HD 89744,22:10.0,+41:13:46,5.74,,,,,40,0.18,1.4,2.14,F7 V,2.04,6196
HD 89744 c,3.2,1017.28,[0.3],,[],85.2,[0.1],0.44,[0.005],0,[0.05],,[],,0,[86.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 89744,22:10.0,+41:13:46,5.74,,,,,40,0.18,1.4,2.14,F7 V,2.04,6196
HD 90156 b,0.057,18.1203,[0.0046],,,49.77,[0.07],0.25,[0.004],0.31,[0.1],,,0.006313,113,[18.0],,,,,,,,,,,,,,,,,detected by radial velocity,,HD 90156,23:55.0,-29:38:44,6.95,,,,,39.6,-0.24,0.84,,G5V,4.4,5599
HD 92788 b,3.86,1227.094,[],,[],325.81,[0.26],0.97,[],0.334,[0.011],8,"[8.0, 8.0]",0.029555,276.4,[2.8],759.2,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 92788,42:48.0,-02:11:01,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559
HD 92788 c,0.9,286.11,[0.3],,[],162,[3.0],0.6,[0.01],0.04,[0.21],,[],,0,[20.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 92788,42:48.0,-02:11:01,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559
HD 93083 b,0.37,117.623,,,,143.58,[0.6],0.477,,0.14,[0.03],,,0.016505,333.5,[7.9],53181.7,[3.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 93083,44:20.0,-33:34:37,8.3,,,,,28.9,0.15,0.7,,K3 V,6,4995
HD 93385 b,0.0263,8.36077,[0.00276],,,13.186,[0.0059],0.1116,[0.0018],0.15,[0.11],,,0.002645,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 93385,46:15.0,-41:27:52,7.49,,,,,42.2,,,,G2V,,
HD 93385 c,0.0318,10.10922,[0.00399],,,46.025,[0.00725],0.257,[0.0043],0.24,[0.18],,,0.00609,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 93385,46:15.0,-41:27:52,7.49,,,,,42.2,,,,G2V,,
HD 9446 b,0.7,222.53,[0.06],,,30.052,[0.027],0.189,[0.006],0.2,[0.06],,,0.003566,-145,[30.0],2454854.4,[2.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 9446,33:20.0,+29:15:55,8.35,,,,,53,0.09,1,1,G5V,,5793
HD 9446 c,1.82,578.578,[0.17],,,192.9,[0.9],0.654,[0.022],0.06,[0.06],,,0.01234,-260,[130.0],2454510,[70.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 9446,33:20.0,+29:15:55,8.35,,,,,53,0.09,1,1,G5V,,5793
HD 95086 b,4.5,1430.55,[0.5],,[],,[],56,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,1000,,,detected by imaging,,HD 95086,57:03.0,-68:40:02,7.36,,,,,90.4,,1.6,,A8III,0.0135,
HD 95089 b,1.2,381.48,[0.1],,,507,[16.0],1.51,[0.05],0.157,[0.086],,,0.010863,317,[60.0],2454983,[90.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 95089,58:48.0,+01:43:45,7.92,,,,,139,0.05,1.58,4.9,K0 IV,2.5,5002
HD 9578 b,0.62,197.098,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 9578,33:17.0,-38:14:42,8.21,,,,,57.24,0.11,1.12,,G1V,,
HD 96063 b,0.9,286.11,[0.1],,,361.1,[9.9],0.99,[0.03],0.28,"[inf, nan]",,,0.006266,90,[100.0],2455260,[120.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 96063,04:44.0,-02:30:48,8.37,,,,,158,-0.3,1.02,4.5,K0,9,5148
HD 96127 b,4,1271.6,,,,647.3,[16.8],1.4,,0.3,[0.1],,,0.002593,162,[18.2],43969.4,[31.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 96127,05:46.0,+44:18:06,7.43,,,,,540,-0.24,0.91,35,K2III,,4152
HD 96167 b,0.68,216.172,[0.18],,,498.9,[1.0],1.3,[0.07],0.71,[0.04],,,0.015476,285,[7.0],2453057,[5.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 96167,05:15.0,-10:17:29,8.09,,,,,84,0.34,1.31,1.86,G5D,3.8,5770
HD 96700 b,0.0284,9.02836,[0.002],,,8.1256,[0.0013],0.0774,[0.0012],0.1,[0.05],,,0.003023,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 96700,07:54.0,-30:10:28,6.5,,,,,25.6,,,,G0V,,
HD 96700 c,0.04,12.716,[0.005],,,103.49,[0.5794],0.422,[0.0073],0.37,[0.19],,,0.016484,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 96700,07:54.0,-30:10:28,6.5,,,,,25.6,,,,G0V,,
HD 97658 b,0.025,7.9475,[0.002],0.21,[0.016],9.4909,[0.0016],0.0796,[0.0012],0.064,"[0.061, 0.044]",89.45,"[0.37, 0.43]",0.003777,-9,[66.0],,[],5375.01,[0.64],2456361.805,[0.0034],,,,,,,,,,,detected by transit,,HD 97658,14:33.0,+25:42:37,6.27,,,,,21.1,-0.23,0.85,0.73,K1V,,5170
HD 98219 b,1.8,572.22,[0.1],,,436.9,[4.5],1.23,[0.03],0.21,"[inf, nan]",,,0.009179,47,[30.0],2455140,[40.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 98219,17:48.0,-23:58:31,8.21,,,,,134,-0.02,1.3,4.5,K0III/IV,4,4992
HD 98649 b,6.8,2161.72,[0.5],,[],4951,"[607.0, 465.0]",5.6,[0.4],0.85,[0.05],,[],,,[],2450271,[22.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 98649,20:52.0,-23:13:02,8.03,,,,,40.3,,,,G4V,,
HD 99109 b,0.502,159.5858,[0.07],,,439.3,[5.6],1.105,[0.065],0.09,[0.16],,,0.018264,256,,11310,[80.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 99109,24:17.0,-01:31:44,9.1,,,,,60.5,0.315,0.93,,K0,12.2,5272
HD 99492 b,0.109,34.6511,[0.013],,,17.0431,[0.0047],0.1232,[0.0071],0.254,[0.092],,,0.006844,219,[22.0],10468.7,[1.4],,,,,,,,,,,,,,,detected by radial velocity,,HD 99492,26:46.0,+03:00:22,7.38,,,,,18,0.36,0.83,0.96,K2V,4,4740
HD 99492 c,0.36,114.444,[0.02],,,4970,[149.0],5.4,[0.1],0.106,[0.006],,,0.3,38,[2.0],9636,[63.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 99492,26:46.0,+03:00:22,7.38,,,,,18,0.36,0.83,0.96,K2V,4,4740
HD 99706 b,1.4,445.06,[0.1],,,868,[31.0],2.14,[0.08],0.365,[0.1],,,0.016589,359,[20.0],2455219,[30.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 99706,28:30.0,+43:58:00,7.81,,,,,129,0.14,1.72,5.4,K0,2.1,4932
HIP 12961 b,0.35,111.265,,,,57.435,[0.042],0.13,,0.16,[0.03],,,0.005652,272,[13.0],2454428.4,[2.0],,,,,,,,,,,,,,,detected by radial velocity,,HIP 12961,46:43.0,-23:05:12,10.31,,,,,23,-0.07,0.67,,M0V,,
HIP 13044 b,1.25,397.375,[0.05],,,16.2,[0.3],0.116,[0.001],0.25,[0.05],,,0.000165,219.8,[1.8],5109.78,[0.02],,,,,,,,,,,,,,,detected by radial velocity,,HIP 13044,47:37.0,-36:06:27,9.94,,,,,701,-2.09,0.8,6.7,F2,9,6025
HIP 14810 b,3.88,1233.452,[0.32],,[],6.673855,[1.9e-05],0.0692,[0.004],0.1427,[0.00094],,[],0.001308,159.32,[0.38],3694.598,[0.007],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 14810,11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1,G5,,5485
HIP 14810 c,1.28,406.912,[0.1],,[],147.73,[0.065],0.545,[0.031],0.164,[0.012],,[],0.010302,329,[2.5],4672.24,[0.0073],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 14810,11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1,G5,,5485
HIP 14810 d,0.57,181.203,[0.052],,[],962,[15.0],1.89,[0.11],0.173,[0.037],,[],0.035728,286,[19.0],4317.198,[0.0073],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 14810,11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1,G5,,5485
HIP 5158 b,1.44,457.776,[0.14],,,345.63,[1.99],0.89,[0.01],0.54,[0.04],,,0.019778,70,[4.0],54580.49,[15.2],,,,,,,,,,,,,,,detected by radial velocity,,HIP 5158,06:02.0,-22:27:11,10.21,,,,,45,0.1,0.78,,K5V,6,4962
HIP 5158 c,15.04,4781.216,[10.55],,,9018,[3181.0],7.7,[1.88],0.14,[0.1],,,0.171111,142,[75.0],,,,,,,,,,,,,,,,,detected by radial velocity,,HIP 5158,06:02.0,-22:27:11,10.21,,,,,45,0.1,0.78,,K5V,6,4962
HIP 57050 b,0.298,94.7342,[0.025],,,41.397,[0.016],0.163506,[4.2e-05],0.314,[0.086],,,0.014864,238.1,[23.2],,,2455201.4,,,,,,,,,,,,,,detected by radial velocity,,HIP 57050,41:45.0,+42:45:07,11.9,,,,,11,0.32,0.34,0.4,M4V,,3190
HIP 57274 b,0.036,11.4444,[0.004],,[],8.1352,[0.004],0.07,[],0.187,[0.1],,[],0.002701,81,[59.0],2454801.015,[1.3],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 57274,44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640
HIP 57274 c,0.41,130.339,[0.01],,[],32.03,[0.02],0.178,[],0.05,[0.02],,[],0.006867,256.2,[120.0],2455793.035,[0.176],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 57274,44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640
HIP 57274 d,0.527,167.5333,[0.025],,[],431.7,[8.5],1.01,[],0.27,[0.05],,[],0.038966,187.2,[0.5],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 57274,44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640
HIP 63242 b,9.18,2918.322,[],,[],124.6,[],0.565,[],0.23,[],,[],,118.2,[],2455376.2,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 63242,57:32.0,-65:38:47,6.86,,,,,135,-0.31,1.54,,G8III,,
